BEYCHAC ET CAILLAU;LATRESNE;Laura NAVARRO
STE MARIE;CHAUDES AIGUES;Vladimir BONDARENKO
PAGNY SUR MOSELLE;ESSEY ET MAIZERAIS;Francisco WILSON
ROUFFIAC;SOUILHE;Tatiana FERREIRA
BAFFIE;ST ROMAIN;Tomasz BROWN
ST LYE;PAYNS;Vera MORENO
MORTHOMIERS;CHATEAUROUX;Francesco ALONSO
GALIE;SIRADAN;Olga ALVAREZ
LES BILLAUX;NEAC;Nykolai KUZNETSOV
ALES;MEJANNES LES ALES;Nykolai POPOV
ST ANDRE DE LIDON;BOUGNEAU;Mario VARGA
BENON;PERIGNY;Michel PETROV
OLBY;ST OURS;Mariya JIMENEZ
ROTHERENS;NANGY;Jean PAVLOVA
LUNERAY;ROYVILLE;Laura FERREIRA
MIEUXCE;RAVIGNY;Laura SIMON
SAZERET;CHAPPES;Lyubov JOHANSSON
CAZAUGITAT;DOULEZON;Rosa SCHNEIDER
DAMBENOIT LES COLOMBE;L ISLE SUR LE DOUBS;Monika MÜLLER
SAVIGNY LE SEC;LAJOUX;Jan ROSSI
HAMEL;HONNECOURT SUR ESCAUT;Jean PETROVA
ST MAURICE DES CHAMPS;BUXY;Wolfgang MUÑOZ
VILLEMADE;ANDILLAC;Nykolai HANSEN
LURCY;BUELLAS;Wolfgang TORRES
CHAMPDOR CORCELLES;CHAUMONT;Jose SOKOLOVA
PLASSAC ROUFFIAC;ANAIS;Francisco JOHANSSON
COMMENTRY;VIRLET;Lyubov MEYER
VENERE;BONBOILLON;Andrea ALVAREZ
PIETRICAGGIO;LES MAYONS;Aleksandra RUIZ
LA GRANGE;BLUSSANGEAUX;Giuseppe POPOV
CHASSAIGNES;LES LECHES;Vasylyi TÓTH
WEISLINGEN;ST LOUIS LES BITCHE;Marta SMITH
VIGNELY;EVE;Valentina SCHULZ
LE POUGET;CLERMONT L HERAULT;Michel KARLSSON
LE CAYROL;ARZENC D APCHER;Maria RUSSO
GRAVELOTTE;BACOURT;Angela DAVIES
ORSONVILLE;LEVES;Werner SILVA
LE GREZ;SOULGE SUR OUETTE;Manfred PEREIRA
BATTEXEY;FRENELLE LA GRANDE;Valentyna ROMERO
ST SILVAIN BELLEGARDE;ST DOMET;Peter ZIMMERMANN
AMIRAT;COLLONGUES;Nikolay POPOVA
TAILLADES;MAUBEC;Andrea LOPEZ
ALLONVILLE;THIEULOY ST ANTOINE;Brigitte BECKER
ST JULIEN;VINON SUR VERDON;Elisabeth ANDERSSON
DUINGT;QUEIGE;Andrey GARCIA
ST MARCEL DE FELINES;ST VINCENT DE BOISSET;Roman RUIZ
CHOLET;CROIX CHAPEAU;Christine IVANOV
MOUZIEYS TEULET;TEILLET;Paul GOMEZ
IROULEGUY;ORTHEVIELLE;Tomasz NAGY
COUR SUR LOIRE;CHEVERNY;Barbara NAGY
REGADES;CLARAC;Juan WILLIAMS
ST PIERRE DE BAT;GUILLOS;Mária PETROV
FOUGERE;LES PINEAUX;Alexander NAGY
BARNEVILLE LA BERTRAN;ROGERVILLE;Sergey FERRARI
LA CROIX DU PERCHE;CHAPELLE ROYALE;Paul PETROV
ESPEYRAC;SENERGUES;Mária VARGA
MARANGE SILVANGE;MAIZIERES LES METZ;Alexander PEREIRA
LHUIS;CLONAS SUR VAREZE;Giovanni BECKER
THEUS;ROUBION;Klaus POPOV
LA VALLEE;ST HIPPOLYTE;Andrei PAVLOVA
HILSENHEIM;BLIENSCHWILLER;Francesco WILLIAMS
VILLARS LES DOMBES;ST SULPICE;Giuseppe MARIN
BOCQUEGNEY;FOMEREY;Marta EVANS
MANHAC;PONT DE SALARS;Jan TAYLOR
BLAIGNAN PRIGNAC;MORTAGNE SUR GIRONDE;Pavel SANTOS
OZEVILLE;ST MARCOUF;Aleksandr IVANOV
ST MARTIN DE LERM;SOUSSAC;Olha PETROVA
MONTIGNY;ANDONVILLE;Paul PEREZ
MITTLACH;WILDENSTEIN;Vasylyi SMIRNOVA
ST ETIENNE CANTALES;ST GERONS;Ana NOWAK
ROUVROIS SUR OTHAIN;LEZEVILLE;Vladymyr KLEIN
PERS;CHASSIECQ;Laura JOHANSSON
ST SEURIN DE BOURG;VILLENEUVE;Claude ALONSO
THIEBLEMONT FAREMONT;PLICHANCOURT;Monika BONDARENKO
ST JOUIN;NOTRE DAME DE LIVAYE;Maksim SMIRNOVA
RECHICOURT LA PETITE;PALANTE;Natalya SMIRNOVA
ST SULPICE DE GUILLERAGUES;CIVRAC SUR DORDOGNE;Maryia SILVA
SILLY LA POTERIE;MARIZY STE GENEVIEVE;Oksana ROSSI
ST JEAN DE CORNIES;ST CLEMENT DE RIVIERE;Pavel SANTOS
CRUPIES;ST PAUL TROIS CHATEAUX;Anna NIELSEN
BURGARONNE;SALIES DE BEARN;Daniel WAGNER
LE GUE D ALLERE;LA DEVISE;Jose ZIMMERMANN
MECHMONT;PRENDEIGNES;Mariya RUSSO
CHAUVIREY LE VIEIL;CHALINDREY;Ekaterina SMIRNOVA
GY LES NONAINS;CHATEAU RENARD;Michel ROMERO
DURTOL;AULNAT;Vladymyr KOCH
STE BAZEILLE;JUILLAC;Aleksandr KOVALENKO
PROUPIARY;SEPX;Ivan BAUER
ST LEGER LES MELEZES;ANCELLE;Jose BRAUN
BUZET SUR BAISE;NERAC;Martin HUBER
ST JURE;MAINVILLERS;Maryia BONDARENKO
BESNEVILLE;MONTHUCHON;Evgeniy TAYLOR
VILLIERS EN DESOEUVRE;MONTREUIL SUR BRECHE;Richard MAGOMEDOV
NACHAMPS;ST BONNET SUR GIRONDE;Nadezhda EVANS
ST SAUVEUR EN PUISAYE;THURY;Marie HANSEN
AUBERVILLE;FONTAINE LA MALLET;Mariya JONES
BEAUCOURT;MONT LE VERNOIS;Irina BRAUN
ROUGEMONT LE CHATEAU;KIRCHBERG;Yuliya PAVLOVA
OUVEILLAN;MONTOULIERS;Angela GARCIA
JU BELLOC;LARREULE;Andreas RODRIGUEZ
GALEZ;LECUSSAN;Anton DAVIES
COURS DE MONSEGUR;THENAC;Sergey PAVLOVA
ST SULPICE DE ROYAN;VERGEROUX;Elena KUZNETSOV
MONCAUP;SOUES;Lyubov FISCHER
MEZIERES SUR OISE;LAFFAUX;Daniel FERNANDEZ
SEMOUSIES;FONTENELLE;Angela FERNANDEZ
HECHES;MOUSTAJON;Denis MORENO
ABBECOURT;MANICAMP;Thomas JENSEN
MONTRABE;ST PIERRE;Nykolai HERNANDEZ
FORGES DE LANOUEE;COURNON;Tatyana BAUER
OHIS;HIRSON;Brigitte COSTA
PONTS;FONTENAY LE MARMION;Natalya JENSEN
LES ANGLES;ROCHEFORT DU GARD;Aleksandra SCHNEIDER
BOISSY SOUS ST YON;FONTENAY AUX ROSES;Barbara KOCH
SOUGERES EN PUISAYE;ST ROMAIN;Claude SMITH
ST ROMAIN LA MOTTE;LA GRESLE;Andrea HOFFMANN
REGNEVILLE SUR MER;MONTMARTIN SUR MER;Barbara VOLKOVA
VILLOGNON;MARCILLAC LANVILLE;Thomas ROBERTS
LE TUZAN;LOUCHATS;Elisabeth MEYER
MOUCHARD;CRAMANS;Lyubov SMIRNOV
VILLAROGER;LANDRY;Claude FERRARI
CHERAUTE;ESQUIULE;Martin SMIRNOV
EXIREUIL;LAGEON;Ekaterina LOPEZ
TREMILLY;STE COLOMBE SUR SEINE;Klaus SIMON
SARCEAUX;ARGENTAN;Tatyana BAUER
VARENNES VAUZELLES;LUGNY BOURBONNAIS;Vera SCHULZ
ST VIVIEN DE MONSEGUR;SEYCHES;Maria KOCH
PIROU;LA HAYE;Thomas TÓTH
ST THUAL;ST DOMINEUC;Werner NOWAK
BASTENNES;DONZACQ;Lyubov KRAVCHENKO
CERE;GELOUX;Aleksandra GARCIA
MEHARIN;AINHOA;Manfred MEYER
TALAIS;ST VIVIEN DE MEDOC;Anne BECKER
ESSOUVERT;BUSSAC SUR CHARENTE;Antonio MARIN
AUJAC;MOSNAC;Jose NOWAK
LA BREILLE LES PINS;LA CHAUSSEE ST VICTOR;Marta RAMOS
ST DIDIER SOUS AUBENAS;JOUDES;Giuseppe KLEIN
OZEVILLE;QUINEVILLE;Yuliya FISCHER
REDORTIERS;REVEST DU BION;Vasylyi ROMERO
BONCE;FRESNAY LE COMTE;Thomas WILLIAMS
MEYSSIEZ;VALS LE CHASTEL;Tatiana SCHNEIDER
CHENE SEC;ALIEZE;Klaus MUÑOZ
CHATELUS;ST AREY;Andreas BONDARENKO
LARGENTIERE;VINEZAC;Dmitriy POPOVA
NIEDERHAUSBERGEN;FARINCOURT;Ana VOLKOVA
PEROUSE;L ETOILE;Anne SCHNEIDER
SAMONAC;ST TROJAN;Patrick ALONSO
LAQUENEXY;HELSTROFF;Vera TAYLOR
DROSAY;HAUTOT L AUVRAY;Valentyna SMIRNOVA
TREMONZEY;PAGNOZ;Darya PAVLOVA
BONNEUIL MATOURS;LA FERRIERE AIROUX;Michel VOLKOVA
ST TRIMOEL;PLEVEN;Mariya PAVLOVA
OUARVILLE;NEUVILLE AUX BOIS;Wolfgang RICHTER
HOUEILLES;POMPOGNE;Tomasz KRAVCHENKO
GRAINVILLE YMAUVILLE;OUAINVILLE;Thomas ALVAREZ
BENEUVRE;PONCEY SUR L IGNON;John SZABÓ
CAZENEUVE;CAUVIGNAC;Svetlana KLEIN
BEAUREPAIRE;BURY;Vera WOLF
MARTAILLY LES BRANCION;OZENAY;Klaus VARGA
VELAUX;SEPTEMES LES VALLONS;Tatiana SCHULZ
SOLLIES PONT;AURONS;Jean KRAVCHENKO
VENETTE;BERNY RIVIERE;Yvan SMITH
MURS;MERINDOL;Maryia MILLER
DOUDRAC;CANCON;John BONDARENKO
VERTAULT;VILLEDIEU;Pavel FERREIRA
VERMANDOVILLERS;GOUY;Vladymyr NOVIKOVA
ROQUEFORT;ST ROMAIN LE NOBLE;Anna BROWN
LE FRASNOIS;SONGESON;Brigitte SCHÄFER
ORIVAL;LANDERROUAT;Roman NAVARRO
NEUVILLE AU BOIS;ALLERY;Martin HANSEN
ST VINCENT DE BARBEYRARGUES;ST JEAN DE CORNIES;Laura WILLIAMS
FAULQUEMONT;BAUDRECOURT;Marta POPOVA
MONTOT;LANTY;Natalya POPOV
CHEVRU;ST SIMEON;Mario SILVA
TORCENAY;CULMONT;Vasylyi PEREZ
TRAMBLY;SAIL LES BAINS;Mariya BECKER
STE MARIE;MAURINES;Vladimir MOROZOVA
ST AMANS VALTORET;LE VINTROU;Vladymyr ALONSO
COMMER;CONTEST;Yuliya IVANOV
ORSENNES;MEASNES;Mario PETROVA
ST GERMAIN DE LIVET;CERNAY;Serhei VASILEVA
LE CHATELARD;TALISSIEU;Vladimir MEYER
LA GUICHE;MARMAGNE;Andreas WILSON
SAUVAGNON;ESPECHEDE;Mária THOMAS
BIEVILLE;THURY HARCOURT LE HOM;Alexander VARGA
THENEZAY;VOUZAILLES;Ekaterina WAGNER
LA CAILLERE ST HILAIRE;ST PAUL EN PAREDS;Piotr MEIER
LE PIAN SUR GARONNE;PREIGNAC;Anna KRAVCHENKO
TOURNON;QUEIGE;Yuliya THOMAS
CAMPIGNY;ST AUBIN D ARQUENAY;Aleksandra IVANOVA
LE FRENEY D OISANS;MONTMELIAN;Oksana SIMON
AURENSAN;ST MONT;Karin TÓTH
SAUVAT;COLLANDRES;Aleksandra SCHMIDT
ST JACQUES DE NEHOU;APPEVILLE;Andrei SCHMID
ST GENEST;SAULZAIS LE POTIER;Wolfgang FERNANDEZ
DUSSAC;JUMILHAC LE GRAND;Angela FERRARI
LA TOUR ST GELIN;CHEZELLES;Mariya ZIMMERMANN
TRIEMBACH AU VAL;ALGOLSHEIM;Sergey BONDARENKO
RIVEL;STE COLOMBE SUR L HERS;Tomasz JOHANSSON
REYRIEUX;CHAMPAGNE AU MONT D OR;Jan SCHNEIDER
SALVIAC;ST CAPRAIS;Hans WOLF
LE GLAIZIL;MONS;Nikolay PETROVA
CHALUS;EYZERAC;Darya MAGOMEDOV
GARS;LES MUJOULS;Maria GONZALEZ
NEZIGNAN L EVEQUE;LASALLE;Tatiana ROMERO
ST REMY EN ROLLAT;BILLEZOIS;Vladymyr IVANOVA
SERIGNAC PEBOUDOU;CAHUZAC;Hans ZIMMERMANN
BOIS HIMONT;LE FAULQ;Laura RICHTER
SIERCK LES BAINS;RETTEL;Tatiana FERREIRA
BAGNOLS EN FORET;LE MUY;Aleksey HOFFMANN
CERDON;BLANCAFORT;Brigitte SCHÄFER
NESLES LA MONTAGNE;ESSISES;Piotr MARIN
MONT LOUIS;TAURINYA;Vera HANSEN
ROUFFIAC DES CORBIERES;VILLENEUVE LES CORBIERES;Natalya SCHULZ
RIEUX VOLVESTRE;LATRAPE;Eva SCHNEIDER
ST CENERI LE GEREI;MONTBIZOT;Marta BAUER
CIVRAC EN MEDOC;ST CHRISTOLY MEDOC;Claude MILLER
AOUSTE;MARQUIGNY;Thomas SIMON
VALDIVIENNE;VERNON;Aleksandra KRAVCHENKO
MOULIN NEUF;LE PIN;Lyubov MÜLLER
CLERMONT LES FERMES;BONCOURT;Robert FERNANDEZ
LA BERTHENOUX;NAZELLES NEGRON;Jose MORENO
ARAUJUZON;VIELLENAVE D ARTHEZ;Maksim KUZNETSOV
FREVILLE;TILLEUX;Valentyna MEIER
CHOUZELOT;BUSY;Serhei RODRIGUEZ
ST GEORGES DE LONGUEPIERRE;GIBOURNE;Francisco MILLER
STE MAXIME;ST TROPEZ;Nadezhda VASILEVA
TREAUVILLE;LES PIEUX;Piotr COSTA
LA BATIE VIEILLE;ROCHEBRUNE;Alina GARCIA
DEUIL LA BARRE;GARGES LES GONESSE;Natalya MILLER
CADILLAC EN FRONSADAIS;BERSON;Daniel SMIRNOV
LE HOUGA;ST PE ST SIMON;Werner FERRARI
LA HOUSSAYE BERANGER;FRESNAY LE LONG;Angela NOVIKOVA
AVRECHY;ROCHY CONDE;Alexander SIMON
CASSAIGNE;TAYBOSC;Elena SCHMID
TRINAY;TRELOU SUR MARNE;Alexander FERRARI
POUY DE TOUGES;LABASTIDE CLERMONT;Giuseppe COSTA
FERRIERES;GORENFLOS;Roman NAVARRO
ST EUSEBE;CERSOT;Andrey SANCHEZ
XARONVAL;MARAINVILLE SUR MADON;Aleksandra JOHNSON
GENAY;JONS;Jan MOROZOVA
LE PLESSIS ROBINSON;ST SAUFLIEU;Piotr FERRARI
LE CARLARET;MIREPOIX;Marina KLEIN
SIMACOURBE;CAUSSADE RIVIERE;Anna MUÑOZ
THIL SUR ARROUX;MARTAILLY LES BRANCION;Christian SOKOLOVA
SILLEY AMANCEY;SERRE LES SAPINS;Claude MUÑOZ
OBERMODERN ZUTZENDORF;OFFWILLER;Andrey MARTINEZ
LAGNICOURT MARCEL;SAUCHY LESTREE;Angela RAMOS
VIEUX THANN;WILLER SUR THUR;Maria KLEIN
VERNEUIL;VASSELAY;Manfred FISCHER
ST ETIENNE DU BOIS;MONTAGNAT;Eva SCHNEIDER
ST GERVASY;MILHAUD;Eva BAUER
BRECY;AZY;Giuseppe DAVIES
LA MOTTE FANJAS;CLELLES EN TRIEVES;Juan WILLIAMS
LOURES BAROUSSE;ARDIEGE;Evgeniy GUTIERREZ
BURLIONCOURT;AVIOTH;Anton SCHMIDT
CAMPS SUR L ISLE;LESTIAC SUR GARONNE;Christian KARLSSON
PLESDER;DINGE;Marta POPOVA
ST XANDRE;LUCON;Irina SCHNEIDER
RICHECOURT;LAHAYVILLE;Aleksey NAVARRO
MONTASTRUC;ST QUENTIN DE CHALAIS;Manfred MARTIN
LAMARQUE;CUSSAC FORT MEDOC;Nykolai NAGY
CHARVIEU CHAVAGNEUX;CHARNOZ SUR AIN;Evgeniy PEREIRA
LA BERNARDIERE;CUGAND;Michel GONZALEZ
L AIGUILLON SUR VIE;L ILE D YEU;David FERNANDEZ
MARGON;SERVIAN;Nykolai MEYER
LALOURET LAFFITEAU;SEDEILHAC;Valentina NAVARRO
HOURTIN;ST GERMAIN D ESTEUIL;Christian MOROZOVA
GIGNY;LES REPOTS;Robert HUBER
LOIX;L AIGUILLON LA PRESQU ILE;Denis POPOVA
GUMIANE;LA BEAUME;Dmitriy MUÑOZ
LAURAC;PEZENS;Eva MEIER
ST MARTIN DE SANZAY;LA ROCHE CLERMAULT;Vera GARCIA
ST ETIENNE DES SORTS;ST MICHEL D EUZET;Petra JENSEN
ST JEAN LE COMTAL;ST PE ST SIMON;Richard HOFFMANN
BANS;CIVRIEUX;Alexander ALVAREZ
STE VALIERE;GINESTAS;Dmitriy MUÑOZ
LUZILLE;LE LIEGE;Alexander SIMON
ST GEORGES DE ROUELLEY;MORTAIN BOCAGE;Martin KOCH
GABILLOU;STE ORSE;Wolfgang MOROZOVA
COURCY;ST GERMAIN SUR AY;Vera JONES
JUSSY LE CHAUDRIER;ST LEGER LE PETIT;Ivan NAVARRO
THOU;PRESLY;Richard KRAVCHENKO
IFFENDIC;LOCMINE;Andrea WILLIAMS
SOULOM;BATSERE;Karin NOVIKOVA
RAUCOURT;PRENY;Alexander POPOV
ST MARTIN VALMEROUX;MAURIAC;Patrick BRAUN
EYDOCHE;SERRE NERPOL;Vera ZIMMERMANN
KINGERSHEIM;LEIMBACH;Ekaterina MUÑOZ
PLUFUR;ST AGATHON;Christian NAVARRO
BOULIAC;ST MEDARD D EYRANS;Patrick JIMENEZ
LIVAROT PAYS D AUGE;ST MARTIN BIENFAITE CRESSONNIERE;Elisabeth MARTINEZ
ECOUVIEZ;GIRAUMONT;Robert SCHÄFER
ST LAURENT DE NESTE;TUZAGUET;Aleksandr RAMOS
MONTCLUS;SIGOTTIER;Igor BROWN
MONTBOILLON;ST BROING;Anne RUSSO
MONTARDON;ARTIX;Ana ANDERSSON
CAUBIAC;ST CRICQ;Ivan JIMENEZ
ST BENOIT SUR SEINE;PONT STE MARIE;Karin EVANS
HERICOURT;THIANCOURT;Jean LOPEZ
VILLAINES EN DUESMOIS;BUXEROLLES;Marina MUÑOZ
TREIX;CHARMES EN L ANGLE;Giovanni FERREIRA
PUSY ET EPENOUX;CHAUX LA LOTIERE;Marina NAVARRO
MOLEZON;ST MICHEL DE DEZE;Michel MEIER
ENTRAGES;CHATEAUREDON;Anastasiya SILVA
BECQUIGNY;ELINCOURT;Yuliya ALONSO
VALCIVIERES;BAFFIE;Anastasiya POPOVA
BERNIN;FONTANIL CORNILLON;Natalya COSTA
AURADE;LABRUYERE DORSA;Francesco POPOV
FONBEAUZARD;FENOUILLET;Michel MEYER
TREMBLAY LES VILLAGES;VILLIERS LE MORHIER;John RUIZ
AURE;STE MARIE;Sergey TORRES
ALBIEZ MONTROND;LA MOTTE EN CHAMPSAUR;Denis BRAUN
JAUSIERS;ENCHASTRAYES;Valentina GONZALEZ
GIGNEVILLE;DOMBROT LE SEC;Aleksandra NIELSEN
REOTIER;LALLEY;Nadezhda KRAVCHENKO
BELLECOMBE TARENDOL;MAUSSANE LES ALPILLES;Vera GOMEZ
LORETTE;LURE;Mariya BROWN
HOMBOURG HAUT;ALTVILLER;Rosa SCHNEIDER
COLLEGIEN;POINCON LES LARREY;Elena DAVIES
ST FLOXEL;LE MESNIL AU VAL;Martin FERRARI
THIEFFRAIN;SEIGNY;Vladymyr JOHANSSON
ROUVRAY ST DENIS;JANVILLE EN BEAUCE;Denis PETROVA
ST MARTIN DE FRAIGNEAU;XANTON CHASSENON;Vera NOWAK
VIGNEVIEILLE;DORRES;Denis SANTOS
MARCE SUR ESVES;VILLOGNON;Marina DIAZ
CERISY LA FORET;BAUDRE;Marta ZIMMERMANN
ST SIGISMOND;FONTENAY LE COMTE;Oksana ROSSI
NOTRE DAME DE BOISSET;SEVELINGES;Ivan MORENO
DOEUIL SUR LE MIGNON;VAL DU MIGNON;Anton ROMERO
ST LEGER DE MONTBRILLAIS;JAULNAY;Christian JOHANSSON
MONTVALEN;ESCATALENS;Piotr BRAUN
NEUBLANS ABERGEMENT;BELFAHY;Vladimir SZABÓ
THEYS;DOUCY EN BAUGES;Aleksandra SMIRNOV
VALLEES D ANTRAIGUES ASPERJOC;ST MICHEL DE CHABRILLANOUX;Ana GUTIERREZ
LA CHAPELLE AUX CHASSES;ST GERAND LE PUY;Andrey SCHMIDT
BURRET;MONTAGAGNE;Maria MUÑOZ
TARGET;CHATEAU SUR CHER;Elisabeth IVANOV
ST CHRISTOLY MEDOC;CONSAC;Aleksandr WILSON
OCHES;SY;Evgeniy HANSEN
ESPONDEILHAN;MAGALAS;Nadezhda NOVIKOVA
COLLEVILLE;ENSUES LA REDONNE;Anastasiya MOROZOVA
PLUHERLIN;MUZILLAC;Anna SCHULZ
MAISONS;VILLEMOMBLE;Darya TÓTH
VERTEUIL D AGENAIS;CAUMONT;Hans GOMEZ
GERMOLLES SUR GROSNE;SAULES;Ivan MORENO
LA CLUSE ET MIJOUX;MONTBENOIT;Oksana MORENO
BOTMEUR;PLOUNEOUR MENEZ;Elisabeth MEYER
MEUSSIA;ROGNA;Pavel SANTOS
VERNAS;LAGNIEU;Tomasz POPOVA
BERTIGNAT;LERIGNEUX;Aleksandra RICHTER
NORROY LES PONT A MOUSSON;VILCEY SUR TREY;Nadezhda JONES
LE COTEAU;ST FORGEUX LESPINASSE;Thomas KUZNETSOV
GANDELU;PRIEZ;Juan DIAZ
HENNEZIS;GUISENIERS;Robert VOLKOVA
BONNELLES;VERT LE GRAND;Andrea NOVIKOVA
BONNEVILLE SUR TOUQUES;DEAUVILLE;Andrei SCHULZ
AIBRE;ST JULIEN LES MONTBELIARD;Pavel MARTIN
SIXT FER A CHEVAL;VALLORCINE;Elena KOVALENKO
ARRONNES;LA CHAPELLE;Michel FISCHER
ST CAPRAIS;PRIMELLES;Aleksey HOFFMANN
PINDERES;SAUMEJAN;Lyubov SIMON
MALICORNAY;CHAVIN;Andreas NIELSEN
LE MONT ST MICHEL;MARCEY LES GREVES;Serhei ZIMMERMANN
COZES;THAIMS;Anna POPOVA
YAINVILLE;LE THUIT;Alexander RICHTER
FONTOY;HALLES SOUS LES COTES;Sandra IVANOVA
TORVILLIERS;VILLENEUVE AU CHEMIN;Elena PAVLOVA
CONTAMINE SUR ARVE;OULLES;Juan SMIRNOVA
STE NATHALENE;CARSAC AILLAC;Michel DAVIES
NABINAUD;ST AMAND DE VERGT;Tomasz MARIN
LESSEUX;GUGNECOURT;Manfred JOHNSON
ST ANDRE D OLERARGUES;MEYRANNES;Francesco IVANOV
LES PLANCHES EN MONTAGNE;MORBIER;Serhei SIMON
STE CROIX;ST MAYME DE PEREYROL;Manfred ANDERSSON
LIGUEUX;ST ANDRE ET APPELLES;Serhei GUTIERREZ
VILLENAVE PRES BEARN;MOMY;Klaus GUTIERREZ
NEUVILLE LES DECIZE;CROSSES;Olga ANDERSSON
CLEYZIEU;SEPTEME;Andrea RUIZ
MOLINES EN QUEYRAS;EYGLIERS;Denis SZABÓ
ST ANDRE DE ROSANS;ROTTIER;Anna WOLF
BONCOURT LE BOIS;ABERGEMENT LA RONCE;Ivan BAUER
GOINCOURT;RAINVILLERS;Barbara FISCHER
ST SAUVES D AUVERGNE;ORLEAT;Nadezhda PEREZ
ST MARTIN LE MAULT;LUSSAC LES EGLISES;Andrey BROWN
BOUGARBER;UZEIN;Maryia TAYLOR
SIAUGUES STE MARIE;LAURIE;Marta MILLER
LIORAC SUR LOUYRE;CAUSE DE CLERANS;Nikolay KOVÁCS
LARUSCADE;MAZION;Manfred IVANOVA
VELAINES;DAGONVILLE;Monika BAUER
BERTRIC BUREE;BOUTEILLES ST SEBASTIEN;Nikolay PETROVA
L HERBERGEMENT;LES BROUZILS;Valentina MARIN
SAINTINES;GRISY SUISNES;Anne WOLF
LE BURET;ST FRAIMBAULT DE PRIERES;Mikhail ALONSO
COURTELEVANT;SEPPOIS LE BAS;Tatiana TÓTH
DESSENHEIM;DIEFFENBACH AU VAL;Andreas HANSEN
LES VELLUIRE SUR VENDEE;ST MARTIN DE MACON;Eva FERNANDEZ
ST JULIEN SUR SARTHE;STE GEMMES LE ROBERT;Aleksandra KOVALENKO
VERS PONT DU GARD;LUNEL VIEL;Nikolay FERNANDEZ
MOULON;LISTRAC MEDOC;Olha BRAUN
LUCHAT;PISANY;Maria SANCHEZ
ST AUBIN DU CORMIER;LE TIERCENT;Anna MARTINEZ
ST MACLOU;ST AUBIN DE SCELLON;Petra MOROZOVA
MUDAISON;DIONS;Juan PEREZ
BOUZIES;LAUZES;Patrick BROWN
PLATEAU D HAUTEVILLE;ROISSARD;Petra MOROZOVA
LE BOULLAY LES DEUX EGLISES;LOUVILLIERS EN DROUAIS;Juan ANDERSSON
ST BENIN DES BOIS;NOLAY;Nadezhda MARIN
GIMECOURT;MANDRES AUX QUATRE TOURS;Christian NAVARRO
ESPINASSE;BADAILHAC;Petra SHEVCHENKO
ROQUESTERON;GILETTE;Karin SCHMIDT
ISLAND;OZIERES;Yvan MARTIN
L ABERGEMENT DE VAREY;VERNAS;Vasylyi FERRARI
VELVING;BRETTNACH;Ekaterina PEREIRA
GERAISE;LES HOPITAUX VIEUX;Sandra VASILEVA
DRY;MAREAU AUX BOIS;Giovanni JENSEN
UCEL;ST PRIEST;Denis ROMERO
ANGLARS;RUEYRES;Martin BONDARENKO
BOISSET;ST JEAN ROURE;Anne SANTOS
SAUVETERRE;MONTANER;Michel PETROV
MAILLY LE CAMP;CHENNEVIERES SUR MARNE;Barbara SMIRNOVA
AUGERVILLE LA RIVIERE;BORDEAUX EN GATINAIS;Alexander SMIRNOV
RIVES DE L YON;NESMY;Andreas BRAUN
ECHENANS;COURCHATON;Josef KOVALENKO
ST PANTALY D EXCIDEUIL;TEILLOTS;Denis ZIMMERMANN
AVILLERS STE CROIX;LES EPARGES;Monika ROBERTS
RAMBOUILLET;VER LES CHARTRES;Jan IVANOV
CHARMENSAC;BONNAC;Maria BROWN
BELLEGARDE;GARONS;Mária POPOV
MARSEILLAN;MOUCHES;Francesco RODRIGUEZ
LIMOISE;COULANGES LES NEVERS;Oksana KRAVCHENKO
LE CASTELLET;QUENZA;Tomasz POPOV
CASTILLON D ARTHEZ;POMPS;Yvan SILVA
VILLEBRET;MONTVICQ;Nykolai MORENO
BRABANT EN ARGONNE;VIENNE LE CHATEAU;Andreas KLEIN
GESNES EN ARGONNE;EPINONVILLE;Darya KOCH
BONNEMAISON;COURVAUDON;Natalya MOROZOVA
EDON;VOUTHON;Tomasz ALVAREZ
BEUGNEUX;MONTLEVON;Francisco TAYLOR
RUBELLES;BIEVRES;Piotr ROSSI
MIREVAL;ST SIGISMOND;Pavel POPOV
PONT L ABBE D ARNOULT;ST SULPICE D ARNOULT;Andreas BONDARENKO
POUZAUGES;MOUCHAMPS;Klaus RODRIGUEZ
CORMEILLES EN VEXIN;LIVILLIERS;Andrea ALVAREZ
CADIX;LE DOURN;Denis RUSSO
COISE ST JEAN PIED GAUTHIER;CHATEAUNEUF;Manfred NAGY
MOULAY;LA BIGOTTIERE;Klaus MEIER
DADONVILLE;NEUVY AU HOULME;Lyubov SCHNEIDER
MARAVAT;ST LEONARD;Monika ROMERO
ROUBIA;PARAZA;Roman ALONSO
LINZEUX;INCOURT;Oksana BAUER
MARSEILLE;ST VICTORET;Michael RICHTER
VOUHE;ANGLES;Ana SCHULZ
PLAIMBOIS DU MIROIR;DOMPREL;Thomas NAGY
BRISSAC;CAZILHAC;Mario SANTOS
SALERM;ST MARTIN GIMOIS;Marie SCHNEIDER
ALLAS BOCAGE;ST PALAIS;Martin ROMERO
ST LOUP;LA SELLE EN LUITRE;Wolfgang KLEIN
VERRIERES;MURASSON;Klaus SANCHEZ
MONTHERME;CHARLEVILLE MEZIERES;Denis SOKOLOVA
ST SULPICE ET CAMEYRAC;MARCHEPRIME;Olha ANDERSSON
